date,prc_val,div_val,prc_adj_val,div_adj_val,pd,pd_adj
30mar1935,1.44e+09,1.45e+07,2.11e+07,77433.45,4.603363,5.606007
30apr1935,1.71e+09,2883047,2.27e+07,34826.74,6.388269,6.478639
31may1935,-1.34e+08,6712239,2.37e+07,91465.04,,5.555821
29jun1935,3.18e+08,1.44e+07,2.52e+07,84087.82,3.094386,5.70163
31jul1935,2.68e+09,3230198,2.63e+07,50821.99,6.719259,6.247372
31aug1935,-8.62e+08,5463048,2.98e+07,110982.4,,5.591744
30sep1935,1.93e+09,1.45e+07,2.79e+07,90166.2,4.890668,5.736334
31oct1935,3.17e+08,3112211,2.97e+07,47285.28,4.623185,6.442135
30nov1935,7.77e+08,1.11e+07,3.54e+07,152225.5,4.245926,5.449616
31dec1935,2.12e+09,1.06e+07,3.49e+07,112109.2,5.301634,5.740238
31jan1936,2.18e+09,3230212,3.50e+07,69157.52,6.514281,6.225741
29feb1936,2.03e+09,4619407,3.68e+07,113084.9,6.083835,5.785961
31mar1936,2.16e+09,8674052,3.64e+07,96487.69,5.518981,5.932448
30apr1936,2.31e+09,3640467,3.33e+07,54954.92,6.452074,6.406013
29may1936,1.86e+09,1.03e+07,4.04e+07,156986.8,5.190789,5.55108
30jun1936,2.10e+09,8456351,3.66e+07,115445,5.513126,5.760368
31jul1936,2.43e+09,1.37e+07,3.82e+07,66218.64,5.180717,6.357001
31aug1936,2.60e+09,6419315,4.30e+07,167081.4,6.004054,5.55031
30sep1936,1.72e+09,9486371,4.09e+07,126640.4,5.20198,5.778061
31oct1936,2.43e+09,3488381,4.23e+07,73241.06,6.548205,6.359779
30nov1936,3.99e+09,3.08e+07,5.34e+07,396659.5,4.863881,4.903195
31dec1936,1.96e+09,1.56e+07,4.86e+07,274208.9,4.83429,5.176499
30jan1937,2.17e+09,4174813,4.50e+07,61945.72,6.255424,6.588404
27feb1937,2.77e+09,5636136,4.66e+07,154619.2,6.198085,5.708982
31mar1937,3.23e+09,1.27e+07,4.67e+07,160385.9,5.543028,5.673028
30apr1937,2.38e+09,4928555,4.24e+07,64808.06,6.179968,6.483996
28may1937,2.97e+09,1.48e+07,4.51e+07,217738.2,5.304796,5.33268
30jun1937,1.28e+09,1.02e+07,4.16e+07,167166.5,4.835392,5.515969
31jul1937,1.91e+09,4551631,4.30e+07,132660,6.039001,5.782087
31aug1937,2.62e+09,7843711,4.27e+07,192976.2,5.811351,5.400266
30sep1937,2.55e+09,1.20e+07,3.73e+07,178512.3,5.361102,5.342554
30oct1937,1.95e+09,4197808,3.16e+07,73781.94,6.139008,6.058795
30nov1937,2.88e+09,3.39e+07,3.33e+07,420509.8,4.441807,4.371729
31dec1937,1.28e+09,1.09e+07,2.92e+07,249902.3,4.765258,4.760054
31jan1938,1.86e+09,3382214,2.72e+07,48403.57,6.308654,6.332575
28feb1938,1.63e+09,5095801,2.96e+07,117812.3,5.76514,5.524842
31mar1938,1.87e+09,1.29e+07,2.18e+07,105895.1,4.977293,5.328314
30apr1938,4.78e+08,3210208,2.48e+07,46126.03,5.003853,6.287564
31may1938,3.75e+08,9966703,2.51e+07,119801.6,3.627228,5.345802
30jun1938,2.53e+09,1.05e+07,2.99e+07,112162.3,5.487793,5.586716
